ObjectID,GlobalID,Depth Code,DO (mg/L),DO (%sat),Conductivity (uS/cm),Salinity (ppt),Temperature (°C),ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,83f40228-8302-4641-9b4e-bccf8fa622f5,1,6.53,80.1,4800,2.6,24.9,f4238403-ecd2-4a42-bd6d-81cc0b0c38c5,9/3/2020 9:23:19 PM,ccber_user,9/3/2020 9:23:19 PM,ccber_user
2,d9e4c7ea-8597-41ee-bf24-ea83eb7db32f,1,0,145,172228,0,28.5,a48132a3-2994-475e-9779-83f19d64f474,9/3/2020 9:26:25 PM,ccber_user,9/3/2020 9:26:25 PM,ccber_user
3,db9cd01d-926e-4f90-9d62-b934424ab8cb,1,0,48.7,156164,0,26.3,5fc05bae-0cfc-41b4-83e6-3e3ec782acf5,9/3/2020 9:28:08 PM,ccber_user,9/3/2020 9:28:08 PM,ccber_user
4,ddfaa2c5-4618-4e04-ae19-dccad284c4af,0,0,27,151910,0,24.4,5fc05bae-0cfc-41b4-83e6-3e3ec782acf5,9/3/2020 9:28:08 PM,ccber_user,9/3/2020 9:28:08 PM,ccber_user
5,7942f990-1e34-493a-ba55-9ece476f2152,2,0,46.8,142315,0,22.2,d9b273f3-1ecf-4663-97d7-b2763c5f61af,9/10/2020 8:30:57 PM,ccber_user,9/10/2020 8:30:57 PM,ccber_user
6,1ab1302d-458a-48db-b327-7e44ed10d45b,1,0,10.9,145044,0,22.9,27bdf73b-9fa6-41ce-85b9-4bd9f77214fe,9/10/2020 8:32:48 PM,ccber_user,9/10/2020 8:32:48 PM,ccber_user
7,aa25874c-aae5-484c-9333-e8a5c6644299,0,0,48.1,147770,0,22.4,722bb5bc-eb64-4757-a621-1c3719b1b591,9/10/2020 8:36:01 PM,ccber_user,9/10/2020 8:36:01 PM,ccber_user
8,24cfaaad-2533-4cfc-ab66-c71520ff2418,1,0,64.2,156039,0,21.8,c99f8ce9-263d-4530-9446-c378044e7a2e,9/10/2020 8:37:35 PM,ccber_user,9/10/2020 8:37:35 PM,ccber_user
9,d170b9ab-719d-4031-88a3-6abfe5d34acb,1,3.59,40.2,4624,2.8,20.1,1c450baa-f19f-4ac4-85c1-7bd5ac33f214,9/10/2020 8:39:30 PM,ccber_user,9/10/2020 8:39:30 PM,ccber_user
10,6ac6f334-8260-4ba5-bd83-b8a8e200317f,1,8.99,104.5,4493,2.6,22.1,2f388cc6-b2f6-4228-8da5-4050df4c4f92,9/17/2020 9:12:30 PM,ccber_user,9/17/2020 9:12:30 PM,ccber_user
11,118df485-3856-47c2-8855-1c0973b69699,1,0,94.9,184487,0,28,9037760c-49f2-4eef-bc8c-6198b22c1d7c,9/17/2020 9:12:31 PM,ccber_user,9/17/2020 9:12:31 PM,ccber_user
12,edc1bf15-3bb0-41de-9635-27bada66ac24,1,0,87.4,144405,0,24.2,a5d69999-387c-4773-8aad-39cf027b2175,9/17/2020 9:12:32 PM,ccber_user,9/17/2020 9:12:32 PM,ccber_user
13,9b130acc-0e92-470b-85c9-579286201ee1,0,0,58.8,145171,0,22.1,a5d69999-387c-4773-8aad-39cf027b2175,9/17/2020 9:12:32 PM,ccber_user,9/17/2020 9:12:32 PM,ccber_user
14,317d4e1d-6383-4815-9a8e-a455586020d8,1,0,41.1,116275,0,22.2,7b60afb6-df57-4ca4-84d9-90db8b8e9c6f,9/28/2020 6:20:16 PM,ccber_user,9/28/2020 6:20:16 PM,ccber_user
15,0d9fc950-349e-4223-b799-166ed6f64a45,0,0,22.2,136292,0,23.4,efb1b568-140b-4dbb-a4e9-d8d34fe17e65,9/28/2020 6:22:40 PM,ccber_user,9/28/2020 6:22:40 PM,ccber_user
16,21edffd2-363a-4419-b617-21562db4f61f,1,0,51.1,162558,0,22.6,a9729d7d-a301-4a6b-b0c6-f98ed0fa8e34,9/28/2020 6:24:07 PM,ccber_user,9/28/2020 6:24:07 PM,ccber_user
17,e7f93a5f-58b4-4ace-9f75-f7d6cc2b7796,1,3.41,38.2,4262,2.5,20.2,c05ebc3e-e285-4de4-811c-96053fa645e4,9/28/2020 6:26:36 PM,ccber_user,9/28/2020 6:26:36 PM,ccber_user
18,564fd0f6-64c7-45a2-854e-0d916e030d84,1,4.31,49.3,4589,2.7,21.2,05252434-f9a4-41d2-9a50-2b4a93c02f06,10/1/2020 7:42:23 PM,ccber_user,10/1/2020 7:42:23 PM,ccber_user
19,23b18f68-3746-4fa5-8bee-1f286cc4cef1,1,99999999,45.8,194090,9999999999,27.8,eb2ea124-e00d-4d36-b17a-1d4e97cea9a2,10/1/2020 7:42:25 PM,ccber_user,10/1/2020 7:42:25 PM,ccber_user
20,ddd78613-42f4-41ce-8005-32ace17c36e7,0,999999999,5.3,157771,9999999999,22.9,70a1b349-40f0-4139-bc28-90e664983a89,10/1/2020 7:42:25 PM,ccber_user,10/1/2020 7:42:25 PM,ccber_user
21,de449275-91b6-499d-a7d9-db257185a4a4,1,99999999,13.8,161472,99999999,25.2,39903efe-718c-4ee9-b8e3-6b411c3a69be,10/1/2020 7:42:28 PM,ccber_user,10/1/2020 7:42:28 PM,ccber_user
22,d81c4e23-095e-4aff-b1f1-d3870453965d,1,0,43.5,134927,0,23.6,f8e51bfb-36b2-4936-99e1-c70481cbef07,10/9/2020 8:39:39 PM,ccber_user,10/9/2020 8:39:39 PM,ccber_user
23,4202305f-6900-4c21-b1a6-667bfa07f2fc,0,0,43.5,134927,0,23.6,f8e51bfb-36b2-4936-99e1-c70481cbef07,10/9/2020 8:39:39 PM,ccber_user,10/9/2020 8:39:39 PM,ccber_user
24,4caa9240-08ef-441a-88c7-bb36e2161b04,1,0,43.5,134927,0,23.6,0d73f122-b44a-4076-babc-d8fcb71b426d,10/9/2020 8:44:30 PM,ccber_user,10/9/2020 8:44:30 PM,ccber_user
25,07f7b346-171e-404c-be12-2a99552245af,0,0,23.6,145401,0,22.4,0d73f122-b44a-4076-babc-d8fcb71b426d,10/9/2020 8:44:30 PM,ccber_user,10/9/2020 8:44:30 PM,ccber_user
